,idade,profissao,estado_civil,educacao,inadimplente,emprestimo_moradia,emprestimo_pessoal,meio_contato,mes,dia_da_semana,duracao,qtd_contatos_campanha,dias_ultimo_contato,qtd_contatos_total,campanha_anterior,indice_precos_consumidor,indice_confianca_consumidor,numero_empregados,resultado
0,56,9,1,5,1,1,1,2,1,1,261,1,999,0,1,93.994,-36.4,5191,1
1,57,4,1,2,,1,1,2,1,1,149,1,999,0,1,93.994,-36.4,5191,1
2,37,4,1,2,1,2,1,2,1,1,226,1,999,0,1,93.994,-36.4,5191,1
3,40,1,1,6,1,1,1,2,1,1,151,1,999,0,1,93.994,-36.4,5191,1
4,56,4,1,2,1,1,2,2,1,1,307,1,999,0,1,93.994,-36.4,5191,1
5,45,4,1,3,,1,1,2,1,1,198,1,999,0,1,93.994,-36.4,5191,1
6,59,1,1,4,1,1,1,2,1,1,139,1,999,0,1,93.994,-36.4,5191,1
7,41,2,1,,,1,1,2,1,1,217,1,999,0,1,93.994,-36.4,5191,1
8,24,3,2,4,1,2,1,2,1,1,380,1,999,0,1,93.994,-36.4,5191,1
9,25,4,2,2,1,2,1,2,1,1,50,1,999,0,1,93.994,-36.4,5191,1
10,41,2,1,,,1,1,2,1,1,55,1,999,0,1,93.994,-36.4,5191,1
11,25,4,2,2,1,2,1,2,1,1,222,1,999,0,1,93.994,-36.4,5191,1
12,29,2,2,2,1,1,2,2,1,1,137,1,999,0,1,93.994,-36.4,5191,1
13,57,9,3,5,1,2,1,2,1,1,293,1,999,0,1,93.994,-36.4,5191,1
14,35,2,1,6,1,2,1,2,1,1,146,1,999,0,1,93.994,-36.4,5191,1
15,54,6,1,3,,2,2,2,1,1,174,1,999,0,1,93.994,-36.4,5191,1
16,35,2,1,6,1,2,1,2,1,1,312,1,999,0,1,93.994,-36.4,5191,1
17,46,2,1,6,,2,2,2,1,1,440,1,999,0,1,93.994,-36.4,5191,1
18,50,2,1,3,1,2,2,2,1,1,353,1,999,0,1,93.994,-36.4,5191,1
19,39,5,2,3,,1,1,2,1,1,195,1,999,0,1,93.994,-36.4,5191,1
20,30,10,1,2,1,1,1,2,1,1,38,1,999,0,1,93.994,-36.4,5191,1
21,55,2,1,5,,2,1,2,1,1,262,1,999,0,1,93.994,-36.4,5191,1
22,55,6,2,2,1,2,1,2,1,1,342,1,999,0,1,93.994,-36.4,5191,1
23,41,3,2,2,1,2,1,2,1,1,181,1,999,0,1,93.994,-36.4,5191,1
24,37,1,1,2,1,2,1,2,1,1,172,1,999,0,1,93.994,-36.4,5191,1
25,35,3,1,1,1,1,2,2,1,1,99,1,999,0,1,93.994,-36.4,5191,1
26,59,3,1,,1,2,1,2,1,1,93,1,999,0,1,93.994,-36.4,5191,1
27,39,8,1,3,,1,1,2,1,1,233,1,999,0,1,93.994,-36.4,5191,1
28,54,3,2,1,,1,1,2,1,1,255,2,999,0,1,93.994,-36.4,5191,1
29,55,,1,1,,,,2,1,1,362,1,999,0,1,93.994,-36.4,5191,1
30,46,1,1,,1,1,1,2,1,1,348,1,999,0,1,93.994,-36.4,5191,1
31,59,3,1,,1,2,1,2,1,1,386,1,999,0,1,93.994,-36.4,5191,1
32,49,2,1,,1,1,1,2,1,1,73,1,999,0,1,93.994,-36.4,5191,1
33,54,5,1,5,,2,1,2,1,1,230,1,999,0,1,93.994,-36.4,5191,1
34,54,2,3,5,1,1,1,2,1,1,208,1,999,0,1,93.994,-36.4,5191,1
35,55,,1,5,,2,1,2,1,1,336,1,999,0,1,93.994,-36.4,5191,1
36,34,4,1,2,1,1,1,2,1,1,365,1,999,0,1,93.994,-36.4,5191,1
37,52,3,1,3,1,2,1,2,1,1,1666,1,999,0,1,93.994,-36.4,5191,1
38,41,1,1,1,1,2,1,2,1,1,577,1,999,0,1,93.994,-36.4,5191,1
39,56,3,1,5,1,2,1,2,1,1,137,1,999,0,1,93.994,-36.4,5191,1
40,58,5,,1,1,2,1,2,1,1,366,1,999,0,1,93.994,-36.4,5191,1
41,32,7,1,2,1,2,1,2,1,1,314,1,999,0,1,93.994,-36.4,5191,1
42,38,1,2,4,1,1,1,2,1,1,160,1,999,0,1,93.994,-36.4,5191,1
43,57,1,1,1,1,1,2,2,1,1,212,1,999,0,1,93.994,-36.4,5191,1
44,44,1,1,1,,2,1,2,1,1,188,1,999,0,1,93.994,-36.4,5191,1
45,42,3,2,4,,1,1,2,1,1,22,1,999,0,1,93.994,-36.4,5191,1
46,57,1,1,1,1,2,2,2,1,1,616,1,999,0,1,93.994,-36.4,5191,1
47,40,2,1,3,1,1,2,2,1,1,178,1,999,0,1,93.994,-36.4,5191,1
48,35,1,1,1,1,2,1,2,1,1,355,1,999,0,1,93.994,-36.4,5191,1
49,45,2,1,3,1,2,1,2,1,1,225,2,999,0,1,93.994,-36.4,5191,1
50,54,1,1,2,1,1,1,2,1,1,160,1,999,0,1,93.994,-36.4,5191,1
51,39,9,1,5,1,1,2,2,1,1,266,1,999,0,1,93.994,-36.4,5191,1
52,60,1,1,2,1,1,1,2,1,1,253,1,999,0,1,93.994,-36.4,5191,1
53,53,1,2,4,1,1,1,2,1,1,179,1,999,0,1,93.994,-36.4,5191,1
54,55,2,1,5,,1,1,2,1,1,269,2,999,0,1,93.994,-36.4,5191,1
55,55,3,1,4,,2,1,2,1,1,135,1,999,0,1,93.994,-36.4,5191,1
56,50,5,1,1,,1,2,2,1,1,161,1,999,0,1,93.994,-36.4,5191,1
57,45,4,1,2,,2,1,2,1,1,787,1,999,0,1,93.994,-36.4,5191,1
58,55,10,1,4,,2,2,2,1,1,145,1,999,0,1,93.994,-36.4,5191,1
59,25,3,2,1,1,2,1,2,1,1,174,1,999,0,1,93.994,-36.4,5191,1
60,47,7,1,1,,1,1,2,1,1,449,1,999,0,1,93.994,-36.4,5191,1
61,51,2,1,3,1,2,1,2,1,1,812,1,999,0,1,93.994,-36.4,5191,1
62,42,2,1,6,,2,1,2,1,1,164,1,999,0,1,93.994,-36.4,5191,1
63,42,2,1,6,,1,1,2,1,1,366,1,999,0,1,93.994,-36.4,5191,1
64,48,1,1,2,1,1,1,2,1,1,357,1,999,0,1,93.994,-36.4,5191,1
65,37,1,1,1,1,1,1,2,1,1,232,1,999,0,1,93.994,-36.4,5191,1
66,44,2,2,3,1,2,1,2,1,1,91,1,999,0,1,93.994,-36.4,5191,1
67,33,1,1,,1,2,1,2,1,1,273,1,999,0,1,93.994,-36.4,5191,1
68,56,1,1,3,1,2,1,2,1,1,158,2,999,0,1,93.994,-36.4,5191,1
69,44,2,2,5,,2,2,2,1,1,177,1,999,0,1,93.994,-36.4,5191,1
70,41,5,1,6,1,1,1,2,1,1,200,1,999,0,1,93.994,-36.4,5191,1
71,44,5,3,1,1,2,1,2,1,1,172,1,999,0,1,93.994,-36.4,5191,1
72,47,1,1,1,,2,1,2,1,1,176,1,999,0,1,93.994,-36.4,5191,1
73,57,,1,,,1,1,2,1,1,211,1,999,0,1,93.994,-36.4,5191,1
74,37,1,1,1,,2,1,2,1,1,214,1,999,0,1,93.994,-36.4,5191,1
75,41,2,3,5,,2,1,2,1,1,1575,1,999,0,1,93.994,-36.4,5191,2
76,55,3,1,1,1,1,1,2,1,1,349,1,999,0,1,93.994,-36.4,5191,1
77,33,4,1,2,,2,1,2,1,1,337,2,999,0,1,93.994,-36.4,5191,1
78,55,5,1,,,2,1,2,1,1,272,1,999,0,1,93.994,-36.4,5191,1
79,42,2,1,3,,1,1,2,1,1,208,1,999,0,1,93.994,-36.4,5191,1
80,50,2,1,5,,2,1,2,1,1,193,1,999,0,1,93.994,-36.4,5191,1
81,51,2,1,5,,,,2,1,1,212,1,999,0,1,93.994,-36.4,5191,1
82,38,1,1,2,,1,1,2,1,1,165,2,999,0,1,93.994,-36.4,5191,1
83,49,7,1,1,,2,1,2,1,1,1042,1,999,0,1,93.994,-36.4,5191,2
