idade,qtd_contatos_campanha,qtd_contatos_total,indice_precos_consumidor,indice_confianca_consumidor,campanha_anterior_inteiros,educacao_inteiros,emprestimo_moradia_inteiros,inadimplente_inteiros,emprestimo_pessoal_inteiros,meio_contato_inteiros,mes_inteiros,dia_da_semana_inteiros,profissao_inteiros,estado_civil_inteiros,resultado
56,1,0,93.994,-36.4,1,3,0,0,0,1,5,2,4,0,0
37,1,0,93.994,-36.4,1,2,1,0,0,1,5,2,9,0,0
40,1,0,93.994,-36.4,1,4,0,0,0,1,5,2,0,0,0
56,1,0,93.994,-36.4,1,2,0,0,1,1,5,2,9,0,0
59,1,0,93.994,-36.4,1,1,0,0,0,1,5,2,0,0,0
24,1,0,93.994,-36.4,1,1,1,0,0,1,5,2,10,2,0
25,1,0,93.994,-36.4,1,2,1,0,0,1,5,2,9,2,0
25,1,0,93.994,-36.4,1,2,1,0,0,1,5,2,9,2,0
29,1,0,93.994,-36.4,1,2,0,0,1,1,5,2,2,2,0
57,1,0,93.994,-36.4,1,3,1,0,0,1,5,2,4,1,0
35,1,0,93.994,-36.4,1,4,1,0,0,1,5,2,2,0,0
35,1,0,93.994,-36.4,1,4,1,0,0,1,5,2,2,0,0
50,1,0,93.994,-36.4,1,5,1,0,1,1,5,2,2,0,0
30,1,0,93.994,-36.4,1,2,0,0,0,1,5,2,3,0,0
55,1,0,93.994,-36.4,1,2,1,0,0,1,5,2,1,2,0
41,1,0,93.994,-36.4,1,2,1,0,0,1,5,2,10,2,0
37,1,0,93.994,-36.4,1,2,1,0,0,1,5,2,0,0,0
35,1,0,93.994,-36.4,1,6,0,0,1,1,5,2,10,0,0
54,1,0,93.994,-36.4,1,3,0,0,0,1,5,2,2,1,0
34,1,0,93.994,-36.4,1,2,0,0,0,1,5,2,9,0,0
52,1,0,93.994,-36.4,1,5,1,0,0,1,5,2,10,0,0
41,1,0,93.994,-36.4,1,6,1,0,0,1,5,2,0,0,0
56,1,0,93.994,-36.4,1,3,1,0,0,1,5,2,10,0,0
32,1,0,93.994,-36.4,1,2,1,0,0,1,5,2,5,0,0
38,1,0,93.994,-36.4,1,1,0,0,0,1,5,2,0,2,0
57,1,0,93.994,-36.4,1,6,0,0,1,1,5,2,0,0,0
57,1,0,93.994,-36.4,1,6,1,0,1,1,5,2,0,0,0
40,1,0,93.994,-36.4,1,5,0,0,1,1,5,2,2,0,0
35,1,0,93.994,-36.4,1,6,1,0,0,1,5,2,0,0,0
45,2,0,93.994,-36.4,1,5,1,0,0,1,5,2,2,0,0
54,1,0,93.994,-36.4,1,2,0,0,0,1,5,2,0,0,0
39,1,0,93.994,-36.4,1,3,0,0,1,1,5,2,4,0,0
60,1,0,93.994,-36.4,1,2,0,0,0,1,5,2,0,0,0
53,1,0,93.994,-36.4,1,1,0,0,0,1,5,2,0,2,0
25,1,0,93.994,-36.4,1,6,1,0,0,1,5,2,10,2,0
51,1,0,93.994,-36.4,1,5,1,0,0,1,5,2,2,0,0
48,1,0,93.994,-36.4,1,2,0,0,0,1,5,2,0,0,0
37,1,0,93.994,-36.4,1,6,0,0,0,1,5,2,0,0,0
44,1,0,93.994,-36.4,1,5,1,0,0,1,5,2,2,2,0
56,2,0,93.994,-36.4,1,5,1,0,0,1,5,2,0,0,0
41,1,0,93.994,-36.4,1,4,0,0,0,1,5,2,7,0,0
44,1,0,93.994,-36.4,1,6,1,0,0,1,5,2,7,1,0
55,1,0,93.994,-36.4,1,6,0,0,0,1,5,2,10,0,0
38,1,0,93.994,-36.4,1,6,0,0,1,1,5,2,10,2,0
31,1,0,93.994,-36.4,1,2,0,0,0,1,5,2,0,1,0
41,2,0,93.994,-36.4,1,4,0,0,0,1,5,2,7,0,0
39,1,0,93.994,-36.4,1,6,1,0,1,1,5,2,0,0,0
49,1,0,93.994,-36.4,1,5,0,0,0,1,5,2,10,0,1
34,2,0,93.994,-36.4,1,2,1,0,0,1,5,2,0,0,0
35,2,0,93.994,-36.4,1,6,1,0,0,1,5,2,0,0,0
33,1,0,93.994,-36.4,1,5,0,0,0,1,5,2,3,0,0
42,1,0,93.994,-36.4,1,4,0,0,1,1,5,2,2,0,0
45,1,0,93.994,-36.4,1,1,1,0,0,1,5,2,9,0,0
42,1,0,93.994,-36.4,1,6,0,0,0,1,5,2,7,0,0
37,1,0,93.994,-36.4,1,1,0,0,0,1,5,2,10,2,0
44,1,0,93.994,-36.4,1,4,0,0,0,1,5,2,2,0,0
49,3,0,93.994,-36.4,1,3,0,0,0,1,5,2,2,0,0
52,1,0,93.994,-36.4,1,6,0,0,0,1,5,2,0,1,0
52,1,0,93.994,-36.4,1,6,0,0,0,1,5,2,0,1,0
34,2,0,93.994,-36.4,1,4,1,0,0,1,5,2,4,0,0
35,2,0,93.994,-36.4,1,2,1,0,0,1,5,2,0,0,0
35,1,0,93.994,-36.4,1,2,1,0,0,1,5,2,9,1,0
37,2,0,93.994,-36.4,1,6,0,0,0,1,5,2,7,0,0
36,1,0,93.994,-36.4,1,2,0,0,0,1,5,2,2,0,0
52,2,0,93.994,-36.4,1,6,0,0,0,1,5,2,0,1,0
49,1,0,93.994,-36.4,1,2,0,0,0,1,5,2,2,1,0
41,1,0,93.994,-36.4,1,2,0,0,0,1,5,2,9,0,0
45,1,0,93.994,-36.4,1,2,1,0,0,1,5,2,10,0,0
32,1,0,93.994,-36.4,1,6,1,0,1,1,5,2,0,0,0
42,2,0,93.994,-36.4,1,6,0,0,1,1,5,2,0,0,0
50,1,0,93.994,-36.4,1,4,0,0,0,1,5,2,0,0,0
